Location,Address,24 Hours,Mon-Fri,Sat,Latitude,Longitude,Closest_Circle_K_Add,Circle_K_Latitude,Circle_K_Longitude,Distance_km,Closest_Circle_K_Loc
Apleichau,"Shop No. 43, G/F, Lei Chak House, Ap Lei Chau Estate, Nos. 322, 326, 328, 330 & 332 Ap Lei Chau Bridge Road, Hong Kong",24 Hours,,,22.24422,114.14986,"Shop No. 2, G/F., East Commercial Block of South Horizons, No. 18A South Horizon Drive, Apleichau, Hong Kong",22.2433943,114.1483479,0.1807118326378503,AP Lei Chau
Southern,"Shop D, Lower Ground Floor, Chik Tak Mansion, No. 11 Stanley New Street, Stanley, Hong Kong",24 Hours,,,22.2187,114.2126492,Concession No. OCP 5 at MTR Ocean Park Station,22.2486966,114.1744429,5.152387343836186,Wong Chuk Hang
Central,"Ground Floor, Lan Fong House, No. 3 Lan Kwai Fong, Central, Hong Kong",,Monday to Friday: 0700-0200,Saturday: 0700-0200,22.2810697,114.1554776,"Shop E , G/F, No. 10 D’Aguilar Street, Yip Fung Building, Nos. 2, 4, 6, 8 & 10 D’Aguilar Street, Hong Kong",22.2813798,114.1562058,0.0825293559864005,Central
North Point,"Shop No. K12, Lower Deck, North Point West Pier, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2884683,114.192803,"Shop No.25-27, G/F., King's Centre, 193-209 King's Road, Hong Kong",22.2893806,114.1942585,0.1808400349702904,North Point
Sai Wan Ho,"Shop No. GD18, G/F, No. 25 Tai On Street, T-13 to T-17, Site D, Lei King Wan, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2840926,114.223339,"Shop B G/F., Nos 106-108 Shau Kei Wan Road, Hong Kong",22.2821321,114.2216237,0.279961043003364,Shau Kei Wan
Wan Chai,"Shop A, Ground Floor, Tung Shing Building, Nos. 118 and 120 Queen's Road East, No. 2 Lun Fat Street, Wan Chai, Hong Kong",,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.2760799,114.1703948,"G/F & M/F, 38 Hennessy Rd, Wanchai, H.K.",22.2773896,114.1704959,0.1454021589498932,Wanchai
Central,"Shop No. 1, Ground Floor, No. 9 Chiu Lung Street, Central, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.282582,114.15652,Kiosk No. CEN E7 MTR Central Station,22.2819989,114.1576766,0.1355605206557671,Central
Wan Chai,"Shops K and L on Ground Floor, Cheung Chun Building, Nos. 8, 10 & 10A Wood Road, Wan Chai, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2771288,114.177625,"G/F., 89 Wan Chai Road, Hong Kong",22.276516,114.1750012,0.2787945126768086,Wanchai
Aberdeen,"G/F, No. 38 Aberdeen Main Road, Aberdeen, Hong Kong",,Monday to Friday: 0700-2330,Saturday: 0700-2330,22.247602,114.158154,"Shop 7, Shek Pai Wan Shopping Centre, Aberdeen, Hong Kong",22.248788,114.1570334,0.1749024760290525,Aberdeen
Causeway Bay,"Ground Floor, No. 68 Tung Lo Wan Road, Tai Hang, Hong Kong",,Monday to Friday: 0700-2200,Saturday: 0700-2200,22.2789233,114.19153,KIOSK TIH 2 at Tin Hau MTR Station,22.2824215,114.1917258,0.3878951708696757,Tin Hau
Aberdeen,"Shop C & D, Ground Floor, Kam Tseuk Mansion, Nos. 1-3 Ka Wo Street, Aberdeen, Hong Kong",24 Hours,,,22.2494804,114.148882,"Shop Nos. 3 & 4, G/F., Silver Mansion, 81 Shek Pai Wan Road, Aberdeen, Hong Kong",22.2493714,114.1487427,0.0187581627876086,Aberdeen
Tai Koo Shing,"Shop Nos. G506-G507, Ning On Mansion, Stage V, Taikoo Shing, Island East, Hong Kong",24 Hours,,,22.2861969,114.2148551,"KIOSK NO. TAK9, Tai Koo MTR Station",22.28465,114.21636,0.2310706009925423,Taikoo
