Location,Address,Opening Hours,Latitude,Longitude,Closest_7_11_Add,7_11_Latitude,7_11_Longitude,Distance_km,Closest_7_11_Loc
Central,Kiosk No. CEN E7 MTR Central Station,07:00-22:30,22.2819989,114.1576766,"Shop Y2, G/F, Euro Trade Centre, Nos.13-14 Connaught Road Central & Nos. 21-23 Des Voeux Road Central, Hong Kong",22.282815,114.157614,0.0906000826054342,Central
Central,"Shop No. 122 on Level One, The Peak Galleria, 118 Peak Road, Hong Kong",10:00-20:00,22.2701512,114.1496575,"Shop No. 7, G/F, Fairview Height, No. 1 Seymour Road, Hong Kong",22.2801403,114.1507578,1.1119305766141012,Central
Central,"Shop E , G/F, No. 10 D’Aguilar Street, Yip Fung Building, Nos. 2, 4, 6, 8 & 10 D’Aguilar Street, Hong Kong",24 hours,22.2813798,114.1562058,"Shop D, G/F & C/L, Yip Fung Building, No. 8 D' Aguilar Street, Central, Hong Kong",22.2813798,114.1562058,0.0,Central
Shau Kei Wan,"Shop No.14 G/F., Oi Tung Shopping Centre, Shau Kei Wan",24 Hours,22.2808612,114.2277794,"Shop No. 5, G/F, Aldrich Garden, No. 2 Oi Lai Street, Shau Kei Wan, Hong Kong",22.2810547,114.228604,0.0876408933225121,Shau Kei Wan
Shau Kei Wan,"Shop B G/F., Nos 106-108 Shau Kei Wan Road, Hong Kong",24 Hours,22.2821321,114.2216237,"G/F, No. 7 Shing On Street, Shau Kei Wan, Hong Kong",22.2817946,114.2214148,0.0431300579372192,Shau Kei Wan
Shau Kei Wan,"No. H1, G/F., Fung Yuen Building, Nos. 388-414 Shau Kei Wan Road, Hong Kong",24 Hours,22.2773645,114.2270455,"Shop No. 5B, G/F, iUniQ, No. 305 Shau Kei Wan Road, Shau Kei Wan, Hong Kong",22.2773645,114.2270455,0.0,Shau Kei Wan
Shau Kei Wan,"Shop B G/F., The Eastborne, No. 51 Shau Kei Wan Main Street East, Hong Kong",06:30 - 23:30,22.2803075,114.2305921,"Shop Nos. 23-28, G/F, Tai On Court, Nos. 62-74 Shau Kei Wan Main Street East, Shau Kei Wan, Hong Kong",22.2793882,114.2298737,0.1258741032443733,Shau Kei Wan
North Point,"Shop No.4, G/F., Cheong Yuen Apartments, Nos.2,4,6,8,8A Tsat Tsz Mui Road, North Point",24 Hours,22.2906342,114.2007566,"Shop B, G/F, Siu King Building, Nos. 14-16 Tsat Tsz Mui Road, North Point, Hong Kong",22.2905633,114.2011319,0.0394636746725643,North Point
North Point,"Unit No. 5, G/F., Block 1, 2 & 3 City Garden, No. 233 Electric Road, Hong Kong",24 Hours,22.2912167,114.1950775,"Portion of Unit No. 2 on the Portion of the G/F of the Podium of Block 1, 2 & 3 City Garden, No. 233 Electric Road, North Point, Hong Kong",22.2907736,114.1944115,0.0843669023133221,North Point
North Point,"Shop No.25-27, G/F., King's Centre, 193-209 King's Road, Hong Kong",24 Hours,22.2893806,114.1942585,"Shop 6A, G/F., Olympia Plaza, 243-255 King's Rd, North Point, HK",22.2897265,114.1944613,0.0436334270778148,North Point
North Point,"G/F., No. 22 Fort Street, Hong Kong",24 Hours,22.2896055,114.1969904,"Shop No. 2 and Shop No, 9 on Ground Floor, Coronet Court, Nos. 321-333 King’s Road & Nos. 1, 3, 5, 7, 7A, 9 & 9A North Point Road, Hong Kong",22.2906419,114.1964877,0.1259150756911222,North Point
North Point,"G/F, No. 484 King’s Road, Hong Kong",0600 - 0000,22.2912043,114.2015413,"Shop No. 130, 1/F, Island Place, No. 500 King's Road, North Point, Hong Kong",22.2913428,114.2021832,0.0679024326679545,North Point
North Point,"Shop No. A at Podium Level 1, Phase 1, Healthy Village, Tsat Tsz Mui Road, North Point, Hong Kong",24 Hours,22.2918325,114.2060903,"Shop No. U3, UG/F, FitFort, No. 560 King's Road, North Point, Hong Kong",22.2917523,114.2043233,0.1823050267388212,North Point
Quarry Bay,KIOSK QUB3 at Quarry Bay MTR Station,06:00-23:00,22.28800384,114.2097574,Kiosk QUB 2 at Unpaid Concourse of MTR Quarry Bay Station (West Concourse),22.2878881,114.2097482,0.0128513928361124,Quarry Bay
Quarry Bay,"No.16, G/F., Hoi Kwong Court, Nos. 13-15 Hoi Kwong Street, Hong Kong",24 Hours,22.287844,114.211047,"Shop 5 & 6D, Ground Floor, Hoi Kwong Court, Nos.13-15 Hoi Kwong Street, Quarry Bay, Hong Kong",22.287844,114.211047,0.0,Quarry Bay
Quarry Bay,"Portion and Toilet Portion of Shop No.G7 on Ground Floor of Westlands Gardens, Nos. 1025-1037 King’s Road, Nos. 2-10,12A-12H Westlands Road, Hong Kong",06:00-00:00,22.284902,114.2129603,"Portion B of Shop No. LG3 on Lower G/F of Westlands Gardens, Nos. 1025-1037 King’s Road & Nos. 2-10, 12A-12H Westlands Road, Quarry Bay, Hong Kong",22.284902,114.2129603,0.0,Quarry Bay
Sheung Wan,"Shop 11, 12 and 13, G/F., Western Market, 323 Des Voeux Road, Sheung Wan, Hong Kong",24 Hours,22.287287,114.150392,"G/F & the Cockloft, No. 298 Des Voeux Road Central, Sheung Wan, Hong Kong",22.2866507,114.1509721,0.0924035343240066,Sheung Wan
Sheung Wan,"Shops D & H, G/F., Sea View Mansion, No. 82, 83, 84, 86, 87 Connaught Road West, Nos. 21, 23, 25, 27 Sutherland Street, Hong Kong","07:00-22:00
Close on Sunday & Public Holiday",22.2881338,114.1461184,"Shop E, G/F, Tai Hing Building, No. 125 Des Voeux Road West, Hong Kong",22.2880153,114.144516,0.1656515371618894,Western
Pok Fu lam,"Shop NO.503 Stalls 7-8 on Fifth Floor, Chi Fu Landmark, Pokfulam, HK",06:00-23:00,22.2578562,114.1387601,"Shop Nos. 401 & 401A, Fourth Floor, Chi Fu Landmark, Chi Fu Fa Yuen, Pokfulam, Hong Kong",22.2578562,114.1387601,0.0,Aberdeen
